state,county,Median Household Income (5y Average),Median Household Income for +7-person Households (5y Avg.),Median Household Income for 1-person Households (5y Avg.),Median Household Income for 2-person Households (5y Avg.),Median Household Income for 3-person Households (5y Avg.),Median Household Income for 4-person Households (5y Avg.),Median Household Income for 5-person Households (5y Avg.),Median Household Income for 6-person Households (5y Avg.),Percent Below Federal Poverty Level (1y Avg.),Percent Below Federal Poverty Level (5y Avg.),Percent of +4 Person Households with +3 Workers (5y Avg.),Percent of +4 Person Households with 1 Worker (5y Avg.),Percent of +4 Person Households with 2 Workers (5y Avg.),Percent of +4 Person Households with No Workers (5y Avg.),Percent of 1 Person Households with 1 Worker (5y Avg.),Percent of 1 Person Households with No Workers (5y Avg.),Percent of 2 Person Households with 1 Worker (5y Avg.),Percent of 2 Person Households with 2 Workers (5y Avg.),Percent of 2 Person Households with No Workers (5y Avg.),Percent of 3 Person Households with 1 Worker (5y Avg.),Percent of 3 Person Households with 2 Workers (5y Avg.),Percent of 3 Person Households with 3 Workers (5y Avg.),Percent of 3 Person Households with No Workers (5y Avg.),Percent of Senior Population Below Federal Poverty Level (1y Avg.),Percent of Senior Population Below Federal Poverty Level (5y Avg.),Percentage of Total Housing Units that are Vacant (1y Avg.),Percentage of Total Housing Units that are Vacant (5y Avg.),Senior Unemployment Rate (1y Avg.),Senior Unemployment Rate (5y Avg.),Unemployment Rate (1y Avg.),Unemployment Rate (5y Avg.)
 Alabama,Autauga County,53099.0,104659.0,26834.0,58452.0,76406.0,74429.0,73017.0,81500.0,,0.1226601675152779,0.1189065203070641,0.319250613451004,0.4867138266563416,0.0751290395855904,0.4580040574073792,0.5419959425926208,0.309853196144104,0.357425183057785,0.332721620798111,0.2874507308006287,0.5052562355995178,0.1011826545000076,0.1061103790998459,,0.0618929117918015,,0.0838689804077148,,0.0797545984387398,,0.055252231657505
 Alabama,Baldwin County,51365.0,86250.0,26010.0,59570.0,68369.0,79153.0,69484.0,67693.0,0.1135993599891663,0.1299379616975784,0.1666022688150406,0.3405455648899078,0.4598562717437744,0.0329959057271481,0.4695508480072022,0.5304491519927979,0.32046177983284,0.3093152940273285,0.3702229261398315,0.3811467587947846,0.3648202121257782,0.12410107254982,0.1299319714307785,0.0776989609003067,0.0699842944741249,0.2938331067562103,0.2741799056529999,0.0322430618107319,0.0379654876887798,0.0358855500817299,0.0627130568027496
 Alabama,Barbour County,33956.0,,16450.0,42631.0,42429.0,44563.0,46563.0,48250.0,,0.2637367248535156,0.0943396240472794,0.4178690314292908,0.3257491588592529,0.1620421707630158,0.3703829348087311,0.6296170949935913,0.4355098009109497,0.2122869044542313,0.3522032797336578,0.3912698328495026,0.2888889014720917,0.093650795519352,0.2261904776096344,,0.16236612200737,,0.2219115346670151,,0.0835380852222443,,0.1282473802566528
 Alabama,Bibb County,39776.0,111477.0,19127.0,41183.0,43520.0,51760.0,68375.0,76579.0,,0.1645391434431076,0.1425516754388809,0.3984319269657135,0.3770491778850555,0.0819672122597694,0.3052825629711151,0.6947174668312073,0.4588859379291534,0.2095490694046021,0.3315649926662445,0.3410740196704865,0.3425253927707672,0.1103047877550125,0.2060957849025726,,0.1064453572034836,,0.2144449353218079,,0.0366666652262211,,0.0714285746216774
 Alabama,Blount County,46212.0,50723.0,22171.0,50601.0,60406.0,64705.0,54390.0,48913.0,,0.1653444021940231,0.1030087769031525,0.4070204794406891,0.3683660626411438,0.1216046810150147,0.3980952501296997,0.6019047498703003,0.347930908203125,0.2647649645805359,0.3873041272163391,0.4086789488792419,0.3608898520469666,0.0436693206429482,0.18676188588142398,,0.0989411920309067,,0.1327882558107376,,0.0496014170348644,,0.0595149993896484
 Alabama,Bullock County,29335.0,,19155.0,32386.0,43790.0,49309.0,64338.0,,,0.2686626017093658,0.3094688355922699,0.3995380997657776,0.1639722883701325,0.1270207911729813,0.3030575513839722,0.6969424486160278,0.4000000059604645,0.2767441868782044,0.3232558071613312,0.3883495032787323,0.32871013879776,0.0416088774800301,0.2413314878940582,,0.2378633171319962,,0.20035858452320102,,0.0698689967393875,,0.1325851976871491
 Alabama,Butler County,34315.0,33618.0,16695.0,41607.0,44861.0,42639.0,53750.0,72639.0,,0.2565950751304627,0.07424242794513701,0.3628787994384766,0.4553030431270599,0.1075757592916489,0.3965904116630554,0.6034095883369446,0.4232573807239533,0.2124664932489395,0.3642761409282684,0.3371278345584869,0.4238178730010986,0.0499124340713024,0.1891418546438217,,0.155284583568573,,0.2207988649606705,,0.0091116176918149,,0.0978448763489723
 Alabama,Calhoun County,41954.0,56622.0,21640.0,46934.0,53776.0,62605.0,60326.0,54467.0,0.1629875898361206,0.19642381370067605,0.1173229217529297,0.3439329564571381,0.4323269426822662,0.1064171716570854,0.4145326912403107,0.5854672789573669,0.379525899887085,0.2251655608415604,0.3953085243701935,0.3765268921852112,0.3609117269515991,0.1038911938667297,0.15867018699646,0.0604416057467461,0.09893952310085301,0.171775683760643,0.1492142677307129,0.0386916622519493,0.0388933457434177,0.09200315922498699,0.1161396354436874
 Alabama,Chambers County,36027.0,45147.0,20120.0,46177.0,48222.0,52401.0,55433.0,52232.0,,0.2031161338090897,0.1455122381448746,0.2828649282455444,0.4152311980724335,0.1563916653394699,0.4116383790969849,0.5883616209030151,0.3469429612159729,0.3091916143894196,0.3438653945922852,0.3888363242149353,0.3519394397735596,0.0771050155162811,0.1821192055940628,,0.1135907620191574,,0.1801833808422089,,0.044720496982335996,,0.0747811198234558
 Alabama,Cherokee County,38925.0,106786.0,17306.0,41968.0,49259.0,58516.0,50208.0,49970.0,,0.1644610315561295,0.1048850566148758,0.2581417560577393,0.4918582439422607,0.1451149433851242,0.3161200284957886,0.6838799715042114,0.3148332536220551,0.224738672375679,0.4604280591011047,0.2964972853660584,0.3670448958873749,0.1272816956043243,0.2091761231422424,,0.1297295391559601,,0.3130996227264404,,0.045098040252924,,0.0585573092103004
 Alabama,Chilton County,42594.0,39756.0,22048.0,47359.0,54375.0,65841.0,47409.0,42909.0,,0.2027435898780823,0.1709051132202148,0.4323215782642365,0.3169264495372772,0.0798468664288521,0.3640500605106354,0.635949969291687,0.4052583873271942,0.258748859167099,0.3359927535057068,0.4180864989757538,0.3250327706336975,0.0806028842926025,0.1762778460979462,,0.1223689913749695,,0.1361889988183975,,0.0155118927359581,,0.0793236643075943
 Alabama,Choctaw County,32622.0,48333.0,16450.0,37364.0,51000.0,72891.0,63750.0,119375.0,,0.2095332741737366,0.0588235296308994,0.3797954022884369,0.3682864308357239,0.1930946260690689,0.3190661370754242,0.6809338331222534,0.302612841129303,0.1672209054231644,0.5301662683486938,0.5125570893287659,0.2283104956150055,0.0513698644936085,0.2077625542879105,,0.1265266388654709,,0.2318740487098694,,0.0172413792461157,,0.1364281326532364
 Alabama,Clarke County,32735.0,51065.0,13093.0,45848.0,49423.0,79750.0,52846.0,57750.0,,0.2463596165180206,0.0969163030385971,0.4052863419055939,0.3650094270706177,0.1327879130840302,0.2546641826629639,0.7453358173370361,0.3346052169799805,0.2004696279764175,0.4649251401424408,0.3248882293701172,0.3263785541057587,0.0834575295448303,0.2652757167816162,,0.1527580767869949,,0.2392565011978149,,0.061872910708189004,,0.1706425696611404
 Alabama,Clay County,38815.0,44259.0,18438.0,42937.0,55104.0,49858.0,49007.0,56688.0,,0.167480543255806,0.1173304617404938,0.3659849166870117,0.4542518854141235,0.0624327249825001,0.351313978433609,0.6486860513687134,0.3511090278625488,0.2463426142930985,0.4025483727455139,0.5005753636360168,0.3429228961467743,0.0506329126656055,0.1058688163757324,,0.089077427983284,,0.2040029615163803,,0.0138121545314789,,0.065836600959301
 Alabama,Cleburne County,36316.0,,14692.0,45200.0,54896.0,51349.0,50100.0,,,0.1961836218833923,0.1269841343164444,0.4610733091831207,0.307634174823761,0.1043083891272545,0.2677437961101532,0.7322561740875244,0.3083677589893341,0.2737603187561035,0.41787189245224,0.4121140241622925,0.4168646037578583,0.0475059375166893,0.1235154420137405,,0.1323138177394867,,0.1245328187942505,,0.0,,0.071371927857399
 Alabama,Coffee County,47872.0,59250.0,25000.0,58371.0,64528.0,68841.0,53079.0,72606.0,,0.1635459214448929,0.1404833793640137,0.3713494539260864,0.4058408737182617,0.0823262855410576,0.4803493320941925,0.5196506381034851,0.3473438322544098,0.3069176971912384,0.3457384705543518,0.3525368273258209,0.4202946126461029,0.0981996729969978,0.1289689093828201,,0.0790658220648766,,0.1488058716058731,,0.0031570638529956,,0.0586595647037029
